pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.700000000000000000e+01,1.534653465346534629e-02,7.850000000000000311e-01,4.288802936367696605e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.800000000000000000e+01,1.510353227771010776e-02,7.850000000000000311e-01,4.286485390788957739e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.900000000000000000e+01,1.486810551558752878e-02,7.850000000000000311e-01,4.284219525279460150e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.000000000000000000e+01,1.463990554899645760e-02,7.860000000000000320e-01,4.282004313539369833e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.100000000000000000e+01,1.441860465116279015e-02,7.860000000000000320e-01,4.279838712737288886e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.200000000000000000e+01,1.420389461626575013e-02,7.860000000000000320e-01,4.277721668102916763e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.300000000000000000e+01,1.399548532731376832e-02,7.860000000000000320e-01,4.275652117125450236e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.400000000000000000e+01,1.379310344827586188e-02,7.860000000000000320e-01,4.273628993371794138e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.500000000000000000e+01,1.359649122807017434e-02,7.870000000000000329e-01,4.271651229940885419e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.600000000000000000e+01,1.340540540540540587e-02,7.870000000000000329e-01,4.269717762572102782e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.700000000000000000e+01,1.321961620469083200e-02,7.860000000000000320e-01,4.267827532426956560e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.800000000000000000e+01,1.303890641430073549e-02,7.860000000000000320e-01,4.265979488563785282e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.900000000000000000e+01,1.286307053941908654e-02,7.860000000000000320e-01,4.264172590125454021e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.000000000000000000e+01,1.269191402251791147e-02,7.860000000000000320e-01,4.262405808260081863e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.100000000000000000e+01,1.252525252525252437e-02,7.860000000000000320e-01,4.260678127794357839e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.200000000000000000e+01,1.236291126620139673e-02,7.860000000000000320e-01,4.258988548678712682e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.300000000000000000e+01,1.220472440944881699e-02,7.860000000000000320e-01,4.257336087222599041e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.400000000000000000e+01,1.205053449951409145e-02,7.850000000000000311e-01,4.255719777137920712e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.500000000000000000e+01,1.190019193857965417e-02,7.850000000000000311e-01,4.254138670407129341e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.600000000000000000e+01,1.175355450236966783e-02,7.850000000000000311e-01,4.252591837992227841e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.700000000000000000e+01,1.161048689138576874e-02,7.850000000000000311e-01,4.251078370399541950e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.800000000000000000e+01,1.147086031452358885e-02,7.850000000000000311e-01,4.249597378114368107e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.900000000000000000e+01,1.133455210237659973e-02,7.850000000000000311e-01,4.248147991918692079e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.000000000000000000e+01,1.120144534778681061e-02,7.850000000000000311e-01,4.246729363104178034e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.100000000000000000e+01,1.107142857142857061e-02,7.850000000000000311e-01,4.245340663591659069e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.200000000000000000e+01,1.094439541041482798e-02,7.850000000000000311e-01,4.243981085967670763e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.300000000000000000e+01,1.082024432809773097e-02,7.850000000000000311e-01,4.242649843447627300e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.400000000000000000e+01,1.069887834339948093e-02,7.850000000000000311e-01,4.241346169774339314e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.500000000000000000e+01,1.058020477815699648e-02,7.850000000000000311e-01,4.240069319060027486e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.600000000000000000e+01,1.046413502109704713e-02,7.850000000000000311e-01,4.238818565579228759e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.700000000000000000e+01,1.035058430717863097e-02,7.850000000000000311e-01,4.237593203519085527e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.800000000000000000e+01,1.023947151114781157e-02,7.850000000000000311e-01,4.236392546693307226e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.900000000000000000e+01,1.013071895424836472e-02,7.850000000000000311e-01,4.235215928225088966e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.000000000000000000e+01,1.002425222312045179e-02,7.850000000000000311e-01,4.234062700204114238e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.100000000000000000e+01,9.919999999999999998e-03,7.850000000000000311e-01,4.232932233321895499e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.200000000000000000e+01,9.817893903404591865e-03,7.850000000000000311e-01,4.231823916489647619e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.300000000000000000e+01,9.717868338557993438e-03,7.850000000000000311e-01,4.230737156442114788e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.400000000000000000e+01,9.619860356865786097e-03,7.850000000000000311e-01,4.229671377330643245e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.500000000000000000e+01,9.523809523809524669e-03,7.850000000000000311e-01,4.228626020308235978e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.600000000000000000e+01,9.429657794676806273e-03,7.850000000000000311e-01,4.227600543109157893e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.700000000000000000e+01,9.337349397590359937e-03,7.830000000000000293e-01,4.226594419625435139e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.800000000000000000e+01,9.246830723340789329e-03,7.830000000000000293e-01,4.225607139481883379e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.900000000000000000e+01,9.158050221565730217e-03,7.830000000000000293e-01,4.224638207611746687e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.000000000000000000e+02,9.070958302852961952e-03,7.830000000000000293e-01,4.223687143834183866e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.010000000000000000e+02,8.985507246376811530e-03,7.820000000000000284e-01,4.222753482435028238e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.020000000000000000e+02,8.901651112706387634e-03,7.820000000000000284e-01,4.221836771751878437e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.030000000000000000e+02,8.819345661450924551e-03,7.820000000000000284e-01,4.220936573764519917e-01
